,name,skills,category,country,rating,reviews,price
46,David Weldon,"['Node.js', 'GraphQL', 'Vue', 'Typescript', 'JavaScript', 'HTML', 'CSS', 'AWS', 'FFmpeg', 'git', 'SQL']",,United States of America,5.0,7.0,
47,Archana Rao V,"['Data Science', 'Data visualization', 'Machine Learning', 'Deep Learning', 'NLP', 'Time Series', 'IoT', 'Ethical AI', 'Private & Secure AI', 'Python', 'PyTorch', 'Differential privacy', 'Federated learning', 'Fast.AI', 'Hugging face', 'Language modelling', 'Image & video modelling', 'Research methodology', 'Statistics', 'TensorFlow']",,India,4.8,32.0,
48,Avi Das,"['Backend', 'System Design', 'Interviewing', 'Ruby', 'Rails', 'Apis', 'SQL Databases', 'DevOps', 'AWS', 'Performance', 'Computer Science', 'Software Engineering', 'JavaScript', 'Web Development', 'Software Architecture', 'Coding']",,United States of America,4.6,8.0,
49,Felix Gerlach,"['Product', 'Product Design', 'Design', 'Product Growth', 'Growth', 'SaaS', 'Entrepreneurship', 'UX', 'UI', 'Product Management', 'Leadership', 'UX Design', 'Management']",,Germany,4.0,3.0,
50,Sanchit Gupta,"['Entrepreneurship', 'Strategy', 'Product Management', 'Marketplaces', 'Customer Experience & Research', 'Supply Chain', 'Digital Marketing', 'Data Analysis and KPIs', 'Frameworks and structured approach', 'SystemDesign']",,India,,,
51,Eric Jude,"['Entrepreneurship', 'Marketing', 'Social Media', 'Branding', 'advertising', 'creative direction', 'life coaching', 'leadership', 'business setup', 'pitch deck', 'Web Marketing', 'Public Relations and Media', 'Social Media', 'Advertising and Promotion', 'Goal Setting', 'Lead Generation', 'E-Commerce', 'Web Marketing', 'Growth Hacker', 'Growth Hacking', 'Career', 'Growth', 'Business', 'funding', 'Startup funding', 'Management']",,Singapore,5.0,42.0,
52,Chelsie-Jean Fernandez,"['Product Management', 'Project Management', 'Agile', 'scrum', 'scrummaster', 'User Interface Design', 'User Experience Design', 'UX', 'responsive Web Design', 'leadership', 'eCommerce', 'Web Design', 'Product owner', 'Product manager', 'management', 'Team Management', 'roadmap', 'executive', 'manager', 'Small Business']",,United States of America,5.0,9.0,
53,Nikola Nikolov,"['Natural Language Processing', 'machine learning', 'Artificial Intelligence', 'Data Science', 'Python', 'PyTorch', 'Deep Learning', 'AI', 'Startup', 'Entrepreneurship', 'transformers', 'neural networks', 'Interview', 'Resume', 'Data Structures', 'chatgpt', 'openai', 'gpt', 'large language models', 'llm', 'Leadership']",,Switzerland,5.0,20.0,
54,Mariana Carvalho,"['Career in Tech', 'Career in Marketing', 'Resume Review', 'Resume writing', 'Scholarship', 'Computer Science']",,United States of America,,,
55,Audax Anchirinah,"['git', 'HTML', 'CSS', 'shell scripting', 'JavaScript', 'NodeJS', 'expressjs', 'React', 'angular', 'SQL', 'node', 'Linux']",,Germany,4.7,3.0,
56,Adam Salim,"['Venture Capital', 'Esports', 'Startups', 'Fundraising', 'Business Development', 'Partnerships', 'Community', 'Management', 'Marketing', 'Entrepreneurship', 'Startup', 'Gaming', 'Scale', 'Growth', 'Leadership', 'Sponsorship', 'Private Equity', 'Founder', 'Business', 'Product Management', 'Engineering', 'Career']",,United States of America,,,
57,Steedan Crowe,"['Product Management', 'Team Leadership', 'Scrum', 'Agile', 'Product Owner', 'Leadership', 'Startup', 'Product Development', 'Product', 'Career', 'Management', 'UX Design', 'Entrepreneurship', 'Interview', 'Product Design', 'Strategy', 'Growth', 'Start up', 'Product Strategy']",,Canada,5.0,18.0,
58,Lily Malykhina,"['Design', 'UX', 'UI', 'Portfolio', 'Research', 'Prototyping', 'User Interface', 'User Experience', 'UI Design', 'UI Design', 'Design Thinking', 'Design Thinking', 'Interview', 'Interview']",,United States of America,5.0,2.0,
59,Amin Ghaderi,"['Machine Learning', 'Statistics', 'Deep Learning', 'Algorithms', 'Data Structures', 'Python', 'R', 'Product Analysis', 'AB testing', 'Mapreduce', 'Hadoop', 'Pyspark', 'Interview Preparation', 'SQL', 'Tensorflow', 'Natural Language Processing', 'Keras', 'Data', 'PyTorch']",,United States of America,5.0,25.0,
60,Vicki Lau,"['Product Management', 'Product Design', 'Product Strategy', 'Product Marketing', 'Product', 'UX Design', 'Marketing', 'Product Roadmap', 'Product Market Fit', 'Product Discovery', 'Agile', 'Sales', 'Business Strategy', 'Business Development', 'Filmmaking', 'Visual Effects', 'Art', 'Virtual Reality', 'VR', 'VFX', 'Public Speaking', 'Graphic Design', 'Video Production', 'Computer Vision', 'C++', 'Unreal Engine', 'Game Development', 'Startup', 'Strategy']",,United States of America,,,
61,Shawn Lee,"['Design', 'DesignThinking', 'Branding', 'UserExperience', 'UserJourney', 'Empathy', 'DesignProcess', 'Business & Management', 'Entrepreneurship', 'UI', 'UX', 'Logo', 'Leadership', 'Management', 'Startup', 'Product Management']",,Singapore,5.0,3.0,
62,Mark Adams,"['information Security', 'infosec', 'Cybersecurity', 'compliance', 'sysadmin', 'network Security', 'Governance', 'risk']",,United States of America,5.0,8.0,
63,Mike Wienick,"['entrepreneurship', 'people management', 'Human Resources', 'Digital Marketing', 'Sales', 'Operations']",,United States of America,5.0,2.0,
64,Nathan Lara,"['Data Science', 'Business & Management', 'Resume', 'LinkedIn', 'Strategy & execution', 'Career', 'machine learning', 'Agile', 'Data Analytics', 'Interview', 'Interview', 'Consulting', 'Management', 'Product Development', 'Product Management', 'Leadership', 'Learning', 'Teaching', 'Engineering']",,Brazil,,,
65,Eric Crawford,"['Career Development', 'Product Management', 'resume', 'job search', 'interviews', 'personal Branding', 'Entrepreneurship', 'User Experience', 'Marketing', 'Strategy', 'networking', 'Startup', 'Leadership', 'UX Design', 'Design', 'Growth', 'Career', 'Interview']",,United States of America,5.0,79.0,
66,Jenny Kim,"['Product Management', 'Product Roadmap', 'Product Strategy', 'Product', 'Strategy', 'Data', 'Experimentation', 'Research', 'Agile', 'Consultant', 'User Experience']",,United States of America,,,
67,Wojtek Strzalkowski,"['Product Management', 'machine learning', 'marketplaces', 'eCommerce', 'Product Strategy', 'Startups', 'AI']",,Poland,5.0,4.0,
68,Sagnik Dey,"['Product Management', 'Project Management', 'SQL', 'Oracle Apps', 'Agile Software Development']",,United States of America,4.6,7.0,
69,Komal Krishna,"['Tech interview preparation', 'Java', 'Data Structures and Algorithms', 'System Design', 'Golang', 'Backend Engineering', 'offer neGotiation', 'resume screening']",,Singapore,,,
70,Sonal Khosla,"['Data Analytics', 'SQL', 'Python', 'Machine Learning', 'Data Scientist', 'MS Power BI']",,Germany,4.0,3.0,
71,Linda Oranya,"['Python', 'SQL', 'Data Science', 'Machine learning', 'PowerBI', 'Data Visualization']",,Lithuania,4.9,8.0,
72,Jordin Gardner,"['JavaScript', 'CSS', 'Typescript', 'React', 'Node', 'AWS', 'Database Administration', 'Frontend', 'NodeJS', 'Linux']",,United States of America,5.0,3.0,
73,Anna Dzehilevych,"['Product Management', 'Customer experience', 'Customer Development', 'Team Leadership', 'User Research', 'Product Planning', 'Agile', 'Product Development Lifecycle', 'Entrepreneurship', 'Product Management', 'Leadership', 'Career', 'Business', 'Management', 'Growth', 'Growth Strategy', 'Startup']",,Ukraine,5.0,5.0,
74,Sumit Pahwa,"['Product Management', 'Product Strategy definition', 'roadmap definition', 'Agile Development management', 'team leadership', 'scrum', 'kanban', 'backlog management', 'interviewing', 'Career Growth']",,United States of America,5.0,12.0,
75,Daniel Burgmann,"['Web3', 'Fin-Tech', 'Product Management', 'Resume Review', 'Agile Software Development', 'Remote Work', 'Remote Management', 'Startups', 'Crypto']",,Germany,5.0,3.0,
76,Sid Arora,"['Product Management', 'UX', 'Design', 'Go to market', 'Product market fit', 'Design Thinking', 'Entrepreneurship', 'Career', 'Career', 'Product Design', 'Product Strategy', 'UX Design', 'Startup']",,United Kingdom,,,
77,Tolulope Ayeni,"['Product Management', 'People Management', 'Team Leadership', 'SaaS', 'eCommerce', 'ERP', 'Management', 'Leadership', 'Startup', 'Agile']",,France,5.0,8.0,
78,Tobi Amodu,"['User Experience Design', 'User Experience Research', 'User Interface Design', 'Communication', 'JS', 'HTML', 'CSS', 'React', 'User Interface']",,Canada,,,
79,Varun G,"['JavaScript', 'React', 'ReactJS', 'Redux', 'CSS3', 'HTML', 'js', 'ui', 'Frontend', 'JavaScript', 'Frontend', 'UI Design']",,India,5.0,5.0,
80,Samuel Rafini,"['React', 'JavaScript', 'Typescript', 'Jest', 'NodeJS', 'Frontend', 'CSS', 'Node', 'Backend', 'Backend', 'Angular', 'Golang', 'SQL', 'Coding', 'Web', 'AWS', 'Vue', 'HTML', 'Web Development', 'MySQL']",,Netherlands,5.0,29.0,
81,Thacher Hussain,"['JavaScript', 'React', 'React Native']",,United States of America,5.0,3.0,
82,Diana Fox,"['Business Development', 'Sales', 'agreements', 'SEO', 'Growth hacking', 'partnerships', 'media companies', 'media', 'web3', 'negotiation']",,United States of America,5.0,6.0,
83,Todd Wolfson,"['JavaScript', 'Node.js', 'Python', 'Ruby', 'HTML', 'CSS', 'Bash', 'Git', 'SQL', 'React', 'Django', 'Ruby on Rails', 'Docker', 'Flask', 'Sinatra', 'Tailwind', 'SASS', 'Bootstrap', 'MySQL', 'Postgresql', 'Digital Ocean', 'AWS', 'Electron']",,United States of America,,,
84,Ludovico Bessi 🇨🇭,"['Machine Learning', 'Statistics', 'System Design', 'Software Architecture', 'Software Engineering']",,Switzerland,5.0,16.0,
85,Mike Poole,"['HTML', 'CSS', 'SASS', 'SQL', 'Typescript', 'JavaScript', 'Angular', 'Frontend', 'Node', '']",,United Kingdom,5.0,27.0,
86,Natalie Thomas,"['wellness', 'mental health', 'Career change', 'mindfulness', 'self care', 'self love', 'meditation', 'spirituality', 'wellbeing']",,United States of America,,,
87,Matej Kukucka,"['SEO', 'Management', 'SaaS', 'Growth Hacking', 'Data Analytics', 'Project Management', 'Process Management', 'WordPress', 'Conversion Optimization', 'Customer Service']",,Slovakia,5.0,3.0,
88,Hari Dulipudi,"['Entrepreneurship', 'Bootstrapping', 'Product Management', 'SustAInable businesses', 'SaaS', 'SEO', 'Growth Hacking', 'Business', 'Marketing', 'Management', 'Startup', 'Growth', 'Software Engineering', 'Mobile Developement', 'Product Development', 'Product Development', 'content Marketing', 'Founder', 'Product', 'Strategy', 'Engineering']",,Australia,4.9,8.0,
89,Callan Richardson,"['Web Design', 'Graphic Design', 'Branding', 'Design', 'Web Development', 'UI Design', 'UX Design', 'Product Design', 'Design Thinking', 'Adobe', 'After Effects', 'Illustrator', 'Photoshop', 'Unity', 'Animation', 'Graphics', 'Motion', 'Web', 'Augmented Reality', '3D', 'Blender', 'Wordpress']",,United Kingdom,4.8,6.0,
90,Ikenna Okpala,"['Ruby', 'Ruby on Rails', 'Python', 'JavaScript', 'Golang', 'Java', 'Architecture', 'Agile', 'Scrum', 'Kanban']",,United Kingdom,5.0,2.0,
91,Victor Barros,"['Product Management', 'Entrepreneurship', 'Startup', 'Leadership', 'Business', 'Career', 'Agile', 'Technology', 'Management', 'Growth', 'Product Design', 'Engineering', 'Mobile', 'Investment', 'Pitch', 'Scrum', 'Machine Learning', 'Software Engineering', 'Product Strategy', 'Artificial Intelligence', 'Deep Learning', 'Fundraising', 'Python', 'JavaScript', 'React', 'AWS', 'Architecture', 'Design Thinking']",,Brazil,5.0,18.0,
92,Sibelius Seraphini,"['React', 'node', 'JavaScript', 'GraphQL', 'relay', 'd3']",,Brazil,,,
93,Niharika Arora,"['Android', 'Java', 'Kotlin', 'Git', 'Programming', 'Engineering']",,India,5.0,17.0,
94,Robert Elliott,"['Lean', 'Agile', 'Leadership', 'Product Management', 'Technology', 'Innovation', 'Growth Mindset', 'Management']",,United States of America,4.5,2.0,
95,Karyn Corrigan,"['SEO', 'Digital Marketing', 'Content Marketing', 'Content Optimization', 'CRO', 'Organic Traffic', 'Marketing', 'Growth', 'Startup', 'Entrepreneurship', 'Career Growth', 'Career']",,Ireland,5.0,13.0,
96,Andrii Latyshev,"['Java', 'Microservices', 'spring', 'Architecture', 'Micronaut', 'hibernate', 'oracle', 'Java se', 'Java ee', 'enterprise', 'PostgreSQL', 'webservices', 'REST', 'Performance', 'AWS', 'Docker', 'Web Development', 'SQL', 'Backend', 'Coding', 'Web', 'Kafka', 'Kafka-streams', 'Kubernetes', 'Software Engineering']",,Switzerland,5.0,33.0,
97,Vijay Rangan,"['System Design', 'JavaScript', 'React', 'NodeJS', 'Software Architecture', 'Full Stack Development', 'AWS']",,India,,,
98,Abby Sassel,"['Haskell', 'Career', 'interviews', 'purescript', 'SQL', 'Ruby', 'software Engineering', 'Career Growth', 'Marketing', 'CV', 'Startup', 'JavaScript', 'HTML', 'CSS', 'clojure', 'clojurescript', 'Growth', 'Interview', 'Product Strategy', 'Coaching', 'Product Management']",,United Kingdom,5.0,11.0,
99,Hemanth Kattamuri,"['SQL', 'Data Science', 'Data Analytics', 'Excel', 'Reporting', 'Tableau', 'Python', 'Regression', 'Business Intelligence', 'Web Analytics']",,India,5.0,6.0,
100,Nestor Vazquez,"['Technical SEO', 'Local SEO', 'SEO for Publishers', 'News SEO', 'eCommerce SEO', 'CRO', 'E-Commerce', 'SEO', 'Content Marketing', 'Paid Ads', 'Marketing', 'Growth', 'Growth Marketing', 'Conversion Rate Optimization', 'conversion optimization', 'Information Architecture', 'Digital Marketing']",,Mexico,,,
101,Govind Malhotra,"['Machine Learning', 'Statistics', 'Data Science', 'Python', 'Deep Learning', 'SQL', 'Analytics', 'R', 'Spark', 'Data', 'Google Cloud Platform', 'GCP', 'Azure', 'Natural Language Processing']",,United Kingdom,5.0,12.0,
102,Sampath Chanda,"['Machine Learning', 'Computer Vision', 'Data Science', 'Python', 'AI', 'Programming', 'Deep Learning', 'Startup']",,United States of America,4.8,4.0,
103,Tushar Bhatnagar,"['Data Science', 'Python', 'autonomous vehicles', 'robotics', 'machine learning', 'Deep Learning', 'Startup', 'NLP', 'Design Thinking', 'Artificial Intelligence', 'Machine Learning', 'TensorFlow', 'PyTorch']",,India,,,
104,Cameron Jenkinson,"['JavaScript', 'NodeJS', 'GraphQL', 'serverless', 'Startups', 'newbies', 'fullstack', 'Frontend', 'aws', 'prisma', 'React', 'Typescript', 'node', 'CDK']",,United Kingdom,5.0,7.0,
105,Jake Sta Teresa,"['React', 'Node', 'JavaScript', 'Redux', 'Typescript', 'AWS', 'C#', 'Java', 'Serverless', '.Net', 'Docker', 'Vue', 'HTML', 'DevOps', 'Backend', 'SpringBoot', 'Lambda', 'MySQL', 'Mongo', 'Scrum', 'Agile', 'Kanban', 'Product Development', 'Product Development', 'Web']",,Australia,5.0,72.0,
106,Jenkin Au,"['Product Management', 'Product Strategy', 'Product roadmap', 'Product vision', 'Product Planning', 'Product metrics', 'Product', 'Product positioning', 'Product manager', 'Product Marketing']",,Singapore,5.0,2.0,
107,David Wabel,"['Marketing', 'Product Marketing', 'Growth Marketing', 'Marketing Strategy', 'Digital Marketing', 'demand generation', 'Growth', 'Content Marketing']",,United States of America,,,
108,Patricia Neto,"['Strategy', 'Product Management', 'Leadership', 'Customer Experience', 'Problem-solving', 'Customer-driven Strategy', 'Team Management', 'UX Design', 'Management', 'Product Design']",,Portugal,,,
109,Nicola Croce,"['Startup', 'robotics', 'Product Management', 'program management', 'entrepreneurship', 'Career_in_Tech', 'AI', 'Machine Learning', 'Autonomous Driving', 'fundarAIsing']",,United Kingdom,,,
110,Jascha Silbermann,"['Web Development', 'Python', 'PHP', 'JavaScript', 'CSS', 'Web Design', 'SEO', 'Strategy', 'Tailwind', 'Product Management', 'UX Design', 'Static Site Generators', 'Twig', 'Jamstack', 'Bioinformatics', 'Wikis']",,Germany,5.0,14.0,
111,Yannis Karagiannidis,"['Growth', 'acquisition', 'retention', 'revenue', 'Marketing', 'Paid Media', 'organic search', 'referral Marketing', 'virality', 'engagement', 'Product Management', 'Career Growth', 'Digital Marketing']",,United Kingdom,5.0,2.0,
112,Igor Benić,"['WordPress', 'PHP', 'JavaScript', 'Laravel', 'Pricing', 'HTML', 'WooCommerce', 'Web Development']",,Croatia,,,
